名称,悬赏标签,预估价,预估工时,参与人数,发布日期,detail_url,技能要求
有没有lsf、slurm高手，可以解答一下任务调度的几个问题,技术难题,200,2天,0,2022-06-01 11:51:33,https://zb.oschina.net/reward/detail?id=18541509,<p>我们软件在非 lsf、slurm 等调度软件的环境中，在运行时会用到一批服务器，比如 100 台，每四台一组，每一组的这四台服务器之间通过定义好的端口进行 tcp 通信。</p><p>问题：</p><p>1. 是否可以将以上的场景用 lsf、slurm 这样的调度软件进行调度，比如是否可以实现，四台服务器通过调度软件来进行组合？或者有没有其他更好的方案来最大化的利用服务器资源？</p><p>2. 加入某一个节点上出错，其他节点是否还会继续运行，如果修正错误后，是否可以不用全部从头再来跑一次？</p><p>3. 通过调度软件按照四台一组的方式进行组合之后，每一个组都有自己的任务，在调度的过程中会不会把不属于当前组的任务给调度过来？</p><p><br></p><p>根据以上问题，可以给出一个调度方案。可以留下您的联系方式，电话沟通。</p>
修改Android源码开放root权限,技术难题,500,7天,2,2022-05-27 14:47:48,https://zb.oschina.net/reward/detail?id=16543282,"<p>在友善之臂开发代码基础上修改Android 8.1、10 的源码需要系统镜像开放出Root权限，APP要能成功执行su命令。源码修改后编译后的镜像可以在rk3399 NanoPC-T4开发板正常运行，APP要能成功执行su命令执行Runtime.getRuntime().exec(""su"");</p><p><br></p><p>https://gitlab.com/friendlyelec/rk3399-android-8.1</p><p><br></p><p>https://gitlab.com/friendlyelec/rk3399-android-10</p><p><br></p><p>提供修改后的源码和编译的image固件包</p>"
julia windows平台打包exe 添加函数运行时间统计,技术难题,100,3天,3,2022-05-26 23:32:03,https://zb.oschina.net/reward/detail?id=16541202,<p>已有代码</p><p>需要将该julia代码打包为exe，同时添加一个函数执行所花费的时间</p>
重金求黑客，具体内容、薪资私聊,技术难题,100,10天,2,2022-05-24 18:10:14,https://zb.oschina.net/reward/detail?id=12543317,<p>重金求黑客黑进大学教务系统修改成绩。这100悬赏只是定金，具体佣金私聊。电话打不通可以发短信吱一声干嘛的，我回电。电话：15092033371。微信：PeaceKatyusha</p>
优化SQL语句写法，并增加索引,技术难题,300,3天,10,2022-05-23 19:15:43,https://zb.oschina.net/reward/detail?id=18543384,"<p>有一个短信程序需要优化：</p><p><strong>后台部分：</strong></p><p>1、修改发送记录查询，日期默认为当日00:00:00 - 23:59:59，可以手动选择日期筛选，但手动筛选只能筛选时间最大值为1个月， </p><p>2、默认类型、默认通道修改为：验证码</p><p><strong>前端部分：</strong></p><p>1、用户端发送记录筛选，默认时间仅为一周，可以手动选择日期筛选，但手动筛选只能筛选时间最大值为1个月</p><p>2、增加一行文字提示“发送记录只保留最近一年的数据，如需保存，请提前下载”之类的。</p><p>3、增加一个定时程序，每天从数据表中删除一年前的发送记录。</p><p><strong>数据库部分</strong></p><p>优化慢sql写法，以及<span style=""font-size: 0.9375rem; color: rgb(51, 51, 51);"">给`sms_shansuma_db`.`sp_user_send`表，增加一个prov_task_id索引，sp_user_send表，加个create_time索引，慢sql如下：</span></p><p><span style=""background-color: rgb(240, 250, 255); color: rgb(51, 51, 51);"">1、select * from `sp_user_send` where `prov_task_id` = ? and `status` = ? and `sendstatus` = ? limit ?</span></p><p><br></p><p><span style=""background-color: rgb(240, 250, 255); color: rgb(51, 51, 51);"">2、update `sp_user_send` set `status` = ?, `sendstatus` = ?, `prov_task_id` = ?, `update_time` = ? where `user_id` = ? and `send_id` = ? and `mobile` = ?</span></p><p><br></p><p><span style=""background-color: rgb(240, 250, 255); color: rgb(51, 51, 51);"">3、select * from `sp_user_send` where `user_id` = ? and `send_id` = ? and `mobile` = ? limit ?</span></p><p><br></p><p><span style=""background-color: rgb(240, 250, 255); color: rgb(51, 51, 51);"">4、select count(*) as aggregate from `sp_user_send` where `status` = ? and `create_time` &gt;= ? and `create_time` &lt;= ?</span></p>"
爬虫高手，大量数据,技术难题,100,30天,12,2022-05-22 20:40:13,https://zb.oschina.net/reward/detail?id=19543367,<p>有意私聊，合法合规</p>
微信视频号弹幕软件,其他悬赏,1000,5天,1,2022-05-20 20:04:51,https://zb.oschina.net/reward/detail?id=12543834,<p>微信视频号弹幕发送软件</p><p>登录微信号，协议登录，然后进入指定的直播间，然后发送指定的弹幕，价格1K左右</p>
毕设指导,技术难题,100,8天,7,2022-05-15 16:45:48,https://zb.oschina.net/reward/detail?id=13543821,<p>本人毕设使用阿里云物联网平台开发</p><p>使用lot studio进行web开发和界面设计。</p><p>希望找一个对此有经验的人协助开发。没有具体设备的设计，会有包括业务逻辑和，lotstudio组件的使用等</p><p>价钱可商议</p><p>留一下电话和微信，上次由一个但我联系不到，谢谢。电话也是我微信号</p>
有一个网站，但是在微信不能打开，需要做一个链接，点击以后唤起浏览器，在浏览器打开,技术难题,100,1天,3,2022-05-15 13:01:40,https://zb.oschina.net/reward/detail?id=14543919,<p>有一个网站，但是在微信不能打开，需要做一个链接，点击以后唤起浏览器，在浏览器打开，会做的加我微信</p><p>Rouer-2</p>
使用Force.com平台进行软件应用程序开发 价格可谈,技术难题,300,5天,0,2022-05-14 16:24:36,https://zb.oschina.net/reward/detail?id=19543991,<p> 软件课程任务。使用Force.com平台进行软件应用程序开发。</p><p><br></p><p>价格可谈</p><p><br></p><p>会的联系vx：nancyq412</p>
verilog任务 会的联系 ,技术难题,300,2天,1,2022-05-14 15:19:05,https://zb.oschina.net/reward/detail?id=15543963,<p>Quartus2 时序逻辑电路设计，任务一：功能要求：1、用一个数码管周期循环显示学号。2、每个数字持续一个时钟周期；用一个按键实现复位；显示最后一个数字的同时，有一个独立的发光二极管点亮。</p><p>任务二：设定定时时间，定时开始后随着时钟输入，数码管显示值递减，直到为0时返回设定值重新开始。功能要求：1、可以设60内任何时间作为倒计时的起点。2、倒计时计数状态用2位数码管显示；计时结束时用1只彩灯作为提示</p><p><br></p><p>会的联系vx：nancyq412</p>
LOGO设计,广告设计,100,5天,1,2022-05-13 18:41:45,https://zb.oschina.net/reward/detail?id=15543951,<p>金融方向</p><p>9rapoint</p>
iOS页面修改,其他悬赏,500,2天,6,2022-05-01 23:45:19,https://zb.oschina.net/reward/detail?id=19543453,<p>在原先页面上添加一个下拉框，具体详聊！</p>
数据整理、数据库建库,其他悬赏,100,15天,14,2022-04-26 21:31:55,https://zb.oschina.net/reward/detail?id=13543014,<p>大概400+家公司，每家公司15+报表，需要进行数据整理，并建库，入库，在后期使用时，能方便调取数据库中的相应数据。</p><p><br></p><p>请报价、报工作方式。</p><p><br></p><p>请勿打电话（打电话一律免谈，拉黑），请发短信或邮件。</p>
连接多部真实手机的的抖音自动评论脚本,技术难题,300,15天,3,2022-04-26 17:53:49,https://zb.oschina.net/reward/detail?id=12543038,"<p><strong>语言: python </strong></p><p><strong>框架: appium</strong></p><p><strong>系统: windows 10</strong></p><p><br></p><p><strong>需求：</strong><span style=""color: rgb(77, 81, 86);"">能够在抖音直播间自动评论并留存记录为txt格式</span></p>"
求购一份多媒体展馆禁毒产品宣传画册。价格可议,其他悬赏,100,15天,2,2022-04-18 13:34:34,https://zb.oschina.net/reward/detail?id=14548165,<p>求购一份多媒体展馆禁毒产品宣传画册。价格可议</p>
网页游戏，价格可议,其他悬赏,100,3天,2,2022-04-17 16:20:35,https://zb.oschina.net/reward/detail?id=12548126,<p>网页游戏：血饮龙纹(目前贪玩平台，后期添加别的平台)</p><p><br></p><p>功能：</p><p>1 : 带中控</p><p>2：自动上号（可选区）</p><p>3：找到NPC，进入地图，跑到地图制定坐标（可自行输入坐标点）</p><p>4：取出仓库指定道具</p><p>5：把背包道具丢地上</p><p>6：多账号同时进行任务</p><p>7：维twlcwl</p>
停车管理系统客户端源代码收购,技术难题,500,30天,2,2022-04-16 12:10:52,https://zb.oschina.net/reward/detail?id=16548369,<p>相机为臻识或华夏，led控制卡为科发，停车时长和费用为解析服务端下发串口数据，下发为示列图</p>
视频降噪,技术难题,100,7天,2,2022-04-16 01:18:12,https://zb.oschina.net/reward/detail?id=17548342,<p>视频降噪，需要给视频人声提取</p>
求购微信小游戏捕鱼达人源码,技术难题,100,5天,4,2022-04-10 22:16:57,https://zb.oschina.net/reward/detail?id=15548922,<p>求购微信小游戏捕鱼达人源码</p>
未来教室场景图片,视频图片,100,1天,4,2022-04-10 10:45:11,https://zb.oschina.net/reward/detail?id=15548733,<p>请制作一张关于未来教室的图片，可以是绘画，可以是建模，总之，可以以类似于概念图一样做出来，谢了。（未来教室资料请自己在网上参考）</p>
服务商快速进件和小程序免认证的参数设置,其他悬赏,100,1天,4,2022-04-07 00:56:25,https://zb.oschina.net/reward/detail?id=12548702,<p>有用过的有经验的朋友报名，服务商快速进件和小程序免认证怎么用的，已经部署好了，不知道如何配置参数。</p>
股票数据自动按上涨横盘下跌三种模式分段,技术难题,200,100天,3,2022-04-06 10:57:28,https://zb.oschina.net/reward/detail?id=13548613,"<p><span style=""color: rgb(51, 51, 51);"">1、对任意天数的股票日线数据（大概100到500个交易日），通过程序自动判断其中哪些部分是上涨、哪些部分是横盘、哪些部分是下跌，并用线段模拟出上涨、横盘、下跌的部分，如图：（红色是上涨，蓝色是横盘，绿色是下跌）</span></p><p><span style=""color: rgb(51, 51, 51);"">2、需要用python3语言，提供代码</span></p><p><br></p><p><span style=""color: rgb(51, 51, 51);"">补充：相当于把股票走势简化为涨、跌、横的折线，每一段都是线段（直线），没有曲线，是一个时间序列线性分段的问题。难点在于：如果用计算开始点结束点波动范围的方法，因为阈值的设置问题，一是横盘识别效果差，二是有可能对一只股票效果很好，对另一只效果很差；如果用聚类的方法，事先不知道可以分几段，算法上需要有突破，类似（</span><span style=""color: rgb(18, 18, 18);"">Multi-sensor Information Fusion</span><span style=""color: rgb(51, 51, 51);"">）</span><span style=""color: rgb(18, 18, 18);"">多传感器的时序数据的模式识别问题，还有TICC的算法（</span>https://blog.csdn.net/shenxiaolu1984/article/details/78134471?spm=1001.2101.3001.6650.1&amp;utm_medium=distribute.pc_relevant.none-task-blog-2%7Edefault%7ECTRLIST%7Edefault-1.pc_relevant_aa&amp;depth_1-utm_source=distribute.pc_relevant.none-task-blog-2%7Edefault%7ECTRLIST%7Edefault-1.pc_relevant_aa&amp;utm_relevant_index=2<span style=""color: rgb(18, 18, 18);"">）仅供参考</span></p>"
设计一个印在打包袋上的宣传图,广告设计,500,2天,9,2022-04-04 09:55:32,https://zb.oschina.net/reward/detail?id=19548663,<p>设计一个印刷在外卖打包袋子上的图logo，要求舒适，简洁明了，直入人心。</p>
chrome浏览器页面打印时怎么去掉页眉和页脚，只显示页码,其他悬赏,200,3天,13,2022-03-31 11:06:02,https://zb.oschina.net/reward/detail?id=12548414,<p>chrome浏览器页面打印时怎么去掉页眉和页脚，只显示页码（最好居中，可自定义表现形式，如：第1页/共32页）</p><p>附件中有实例文件，请帮忙添加修改</p>
推广外链发往20个网站,营销推广,100,7天,2,2022-03-25 11:35:54,https://zb.oschina.net/reward/detail?id=14548012,<p>要求：</p><p>一、共发20个外链;</p><p>二、每个目标网站发一个外链;</p><p>三、目标网站需要百度权重1以上（以站长工具https://tool.chinaz.com/查询结果为标准）;</p><p>四、外链保持一个月以上（一周时检查可结算）;</p><p>五、发完链接后把外接存在的网址列出来即可。</p><p><br></p><p>外链描文本：家居装修网</p><p>链接：http://www.jjzxw.cn</p>
浏览器端cad文件展示和js操作编辑支持,技术难题,100,20天,3,2022-03-23 15:24:40,https://zb.oschina.net/reward/detail?id=12548059,<p>要求支持在chrome 90以上版本无插件加载cad dwg文件，可以进行放大缩小、位移操作，可以通过javascript操作cad图中某些坐标、元素进行编辑操作（修改特定位置/区域颜色，在特定坐标增加图标标记）。</p><p>可以通过程序自动合并两个cad文件，可以指定两个cad文件摆放的坐标位。</p><p>价格可议。</p>
java版卡尔曼滤波算法支持,技术难题,100,7天,5,2022-03-23 13:17:50,https://zb.oschina.net/reward/detail?id=15548006,<p>要求按照提供的excel数据集，两列：时间列+数据值，剔除出其中的突变值，在相应位置标记算法合理值，并重新输出更新后数据集。</p><p>java语言实现，提供源码并进行说明讲解。</p><p>费用可协商。</p>
nff-go 汇编支持arm平台,技术难题,1500,7天,2,2022-03-23 09:37:53,https://zb.oschina.net/reward/detail?id=16548214,<p>github.com/intel-go/nff-go这个项目里Go汇编转义支持arm平台</p><p>具体文件 https://github.com/intel-go/nff-go/blob/master/asm/asm.s(就这一个文件即可)</p><p>赏金可协商</p>
python程序转exe,技术难题,100,3天,7,2022-03-17 20:33:42,https://zb.oschina.net/reward/detail?id=17549142,"<p>需要制作一个EXE 程序。该python程序的功能为：在当前目录下 打开cmd,输入下述代码后，将名字为16.jpg的图片中的未知微生物，从database文件夹中找出最相似的三张图片并给出图片的名字。通过该方式确定该微生物最可能的名字。</p><p><br></p><p>python query_online.py -query 16.jpg -index featureCNN.h5 -result database</p><p><br></p><p><br></p><p>软件制作需求：</p><p><br></p><p><br></p><p>1&nbsp;将python 程序改为EXE程序。EXE程序中实现将未知微生物的图片在database文件夹中找出最相似的微生物的图片并给出该图片的名字。将检索结果由3个改为10个，每个结果是一张图片和该图片的名字，同时还需要给出待检索微生物与各检索结果的相似度。相似度在程序中已经包含。只需要体现出来即可。</p><p><br></p><p>2&nbsp;未知微生物图片有两种给出方式：1） 直接在在EXE程序中通过在系统中该图片所在文件夹中选择，该方式适合一张图片中只含有一个未知的微生物的情况；2）.在一张复杂的图片中通过框选，将未知微生物框出来。这种方式适合在一张包含若干个物体的图片中给出未知的微生物。</p><p><br></p><p>3.只能在exe程序的检索结果中看见database文件夹中的图片。不能通过别的方式打开database文件夹中的图片。</p><p><br></p><p>4. 制作时间无要求。</p><p><br></p><p>5. 程序见附件</p><p><br></p><p>6.自由报价。将价格发到jixiang504@hotmail.com</p><p><br></p>"
PHP部署,其他悬赏,100,7天,9,2022-02-28 19:46:57,https://zb.oschina.net/reward/detail?id=11549613,<p>PHP部署在服务器上</p><p>18017971198（微信同号）</p>
做一个小工具，可以判断华为手机鸿蒙系统的版本号,技术难题,500,10天,13,2022-02-24 09:52:05,https://zb.oschina.net/reward/detail?id=17549436,<p>做一个在windows下面通过命令行运行的小工具，手机连接电脑并且开启USB调试模式后，可以获取华为手机鸿蒙系统的版本号，手机端不能安装APP插件。</p>
诚信问题，需要值得信任的人,技术难题,100,30天,9,2022-02-21 11:08:09,https://zb.oschina.net/reward/detail?id=17549452,"<p>Can make around 6k a month, if you want to. Add me Telegram message @ryan_jeson or QQ 3217803569</p><p>I'm not a liar, i'm a coder</p><p>TIP: INCLUDES A LITTLE OF RISK</p>"
爬虫老手、大量数据,其他悬赏,100,30天,18,2022-02-17 19:27:11,https://zb.oschina.net/reward/detail?id=16549543,<p>大量数据处理，老手面谈</p>
Flash视频播放插件。,技术难题,1000,20天,2,2022-02-16 15:33:52,https://zb.oschina.net/reward/detail?id=17549015,<p>Flash视频/音频播放组件功能要求：</p><p>(1)断点续播功能：结合后台处理，保存当前播放进度，下次再打开视频时，可以设置视频，从上次播放的位置继续播放。</p><p>(2)控制播放次数：具有播放结束回掉事件，记录视频累计播放的次数，限制视频总的播放次数。</p><p>(3)禁止拖拽播放进度：可以通过参数设置，控制视频不能拖拽进度，强制从开头播放到结尾。</p><p>实现方案要求：</p><p>(1)可以调查开源框架，在开源的框架(如video.js)上修改配置或者调整代码上线上述功能。</p><p>(2)必须支持IE8浏览器，Flash解决方案。</p><p>(3)可以实现多引擎渲染(在IE8下Flash播放，chrome下H5播放)。</p><p><br></p>
实现基于windows的浏览器(如chrome)消息通知时任务栏图标闪亮,技术难题,500,2天,11,2022-01-18 19:48:07,https://zb.oschina.net/reward/detail?id=17547307,<p>需求：</p><p>目前项目需要基于VUE开发的项目需要实现收到消息时任务栏图标闪亮以达到提醒用户</p><p><br></p><p>要求：</p><p>1.能实现相关需求</p><p>2.有相关实施经验</p><p>3.需与目前现有项目源码交付并对接</p><p>4.无经验者勿扰</p><p> </p>
Andriod漏洞扫描、嗅探工具,技术难题,100,7天,2,2022-01-10 15:38:37,https://zb.oschina.net/reward/detail?id=11547947,<p>Andriod漏洞扫描、嗅探工具</p>
计算机图形学大作业,其他悬赏,150,1天,2,2022-01-08 20:00:42,https://zb.oschina.net/reward/detail?id=17547735,<p>任务四选一，python最好，代码要有注释，要有说明文档和程序运行截图</p>
关于解决自动化操作中无法对软件下拉菜单数据获取及点击的问题！,技术难题,100,7天,5,2022-01-03 09:22:14,https://zb.oschina.net/reward/detail?id=12547644,<h6><strong>问题遇到的现象和发生背景</strong></h6><p>是一个CS架构的电商软件，有部分工作是重复的，需要不断的点选菜单，分类等等。</p><p>所以想开发一个软件，自动点选分类，自动保存。。</p><h6><strong>运行结果及报错内容</strong></h6><p>主要问题是：</p><p>1.菜单是内嵌动态获取的，定位元素控件等没办法获取数据。</p><p>2.尝试过用图像识别定位，点击，但是每个图像识别准确性有限，而且位置不精确，误差率高。</p><p>3.无法判断是否点击正确。</p><h6><strong>我的解答思路和尝试过的方法</strong></h6><p>我只能想到图像识别的方式。但是效果差。出现的问题如上。</p><p>不知道各位，还有没有什么方法及方式，或者用其他软件科实现。</p><h6><strong>我想要达到的结果</strong></h6><p>1.获取菜单数据。</p><p>2.精确点击指定的菜单内容。</p>
Android摄像头实时渲染，部分c++实现改java,技术难题,1000,7天,4,2021-12-30 18:01:07,https://zb.oschina.net/reward/detail?id=18547482,"<p><span style=""color: rgb(34, 34, 34);"">有这样一份Android&nbsp;demo源码，功能有四块(都是c++实现的)：1.1打开手机摄像头，1.2.获取手机摄像头数据，1.3.特效处理获取的手机摄像头数据，1.4，将处理后的摄像头数据渲染到屏幕上。&nbsp;现在想改成：2.1.打开手机摄像头（改成java实现,。SurfaceView用于预览数据，SurfaceTexture绑定到Camera1)&nbsp;2.2.&nbsp;将1中的SurfaceTexture&nbsp;Id(纹理id)&nbsp;通过jni传递给c++, 2.3.处理传递过来的SurfaceTexture&nbsp;Id(纹理id)&nbsp;，将1.3中特效处理过程用在SurfaceTexture&nbsp;Id上，2.4&nbsp;将处理后的SurfaceTexture&nbsp;Id渲染到SurfaceView 2.5 提供一个获取处理后的数据接口，该数据格式是摄像头的原始数据格式，返回的数据类型是byte[].</span></p><p><br></p><p>备注：我看到有两个报名的朋友，但无法联系到你们，导致我们之间无法沟通，现留一个qq号：983543535。或者你们提交一个解决方案，一个简单的描述就可以，这样我就能看到你们的联系方式了；</p>"
H5/Web 逆向破解,技术难题,1000,30天,4,2021-12-15 17:39:19,https://zb.oschina.net/reward/detail?id=16546121,"<p>【待遇面谈，预算30w-50w】</p><p>1、逆向分析App、Web、H5 ，JS反混淆等。具体需求面谈。 技术大佬可加威信wxqy20190501 或者 企鹅 775578675</p><p>待遇面谈。App逆向分析、<span style=""color: rgb(34, 34, 34);"">Web、H5 ，JS反混淆等两个方向的人才都要。</span></p>"
一个开源API框架工具报错（Java后端）,技术难题,100,30天,24,2021-12-11 16:16:43,https://zb.oschina.net/reward/detail?id=12546885,<p>https://www.oschina.net/p/xxl-api</p><p><br></p><p>本地执行报错，想找个高手帮忙看一下</p><p>16:10:55.734 logback [main] ERROR o.s.boot.SpringApplication - Application startup failed</p><p>java.lang.IllegalStateException: Cannot load configuration class: com.xxl.api.admin.XxlApiApplication</p><p>	at org.springframework.context.annotation.ConfigurationClassPostProcessor.enhanceConfiguration</p>
视频协议定制开发,技术难题,2000,7天,1,2021-11-30 18:36:16,https://zb.oschina.net/reward/detail?id=17546709,<p>基于python语言开发的视频分析系统，需要增加一个视频传输国标协议的模块需求 </p><p>熟悉人工智能、视频分析、视频处理、接口协议等</p>
计算机网络实验RTP 要求看pdf,技术难题,300,5天,0,2021-11-19 11:11:47,https://zb.oschina.net/reward/detail?id=16546536,<p>会的私聊我wx： 154305668</p>
发票审核后与金蝶、用友的总账、明细账自动对接,技术难题,1000,15天,9,2021-11-07 09:40:38,https://zb.oschina.net/reward/detail?id=18546249,<p>提供一个服务就是发票审核后与金蝶、用友的总账、明细账自动对接，完成凭证的入库后自动回写个状态。</p>
求解密ios游戏个人数据里面的 . lock后缀类型的加密文件,技术难题,200,5天,1,2021-11-02 09:54:59,https://zb.oschina.net/reward/detail?id=11544106,<p>需要把这个加密文件解密出来 ，直接打开是乱码 解码出来后自己能正常编辑并且能够还原到原始的加密状态</p>
信息安全的操作实验，要求一个实验报告,技术难题,300,5天,0,2021-10-28 14:09:36,https://zb.oschina.net/reward/detail?id=14544321,<p>详情看pdf，</p><p>会的私聊我vx：154305668</p>
大一 Java小游戏开发,技术难题,500,5天,7,2021-10-28 13:14:52,https://zb.oschina.net/reward/detail?id=14544813,<p>会的可以私聊vx：154305668</p>
破解一个微擎下的模块,技术难题,100,2天,1,2021-10-24 13:31:47,https://zb.oschina.net/reward/detail?id=16544932,<p>破解一个微擎下面的模块，技术大佬加我2280684541重赏！</p>
Linux方向、Django方向和WPS方向-从入门到精通-教材,翻译写作,1000,30天,5,2021-10-18 17:47:12,https://zb.oschina.net/reward/detail?id=14544785,"<p>#为学校预定一批教材，找人来兼职写作，凡有以下特长之一：</p><p><br></p><p><strong>## 1、</strong><strong style=""color: rgb(34, 34, 34);"">熟悉且精通国产办公软件或Django项目开发</strong></p><p><u style=""color: rgb(34, 34, 34);"">WPS</u></p><p>Django</p><p><br></p><p><strong>## 2、精通Java相关的关键技术</strong></p><p>Redis</p><p>Elasticsearch</p><p><br></p><p><strong style=""color: rgb(34, 34, 34);"">## 3、网络管理或运维、服务器端开发</strong></p><p>RedHat Linux</p><p>Ubuntu Linux</p><p>Docker</p><p><br></p><p><br></p><p><strong>## 要求：</strong></p><p>1.爱好写作，平时也写技术文档，有博客者优先</p><p>2.有2年以上工作经验</p><p>3.有兼职时间，在家Word写作，没有时间的请直接忽略。</p><p><br></p><p>具体<strong>## 咨询**Q：2665670394**，验证：开源。</strong></p>"
