title,title_url,info,img_url
用英语请人帮忙时，怎样说“这事不着急”？,http://language.chinadaily.com.cn/a/202205/27/WS62904c8ba310fd2b29e5f631.html,在工作中，我们常需要向同事提出请求或寻求帮助。如果事情并不紧急，那么该怎样用英语礼貌地告诉他人“这事不用着急”？,http://img2.chinadaily.com.cn/images/202205/27/62904c8ba310fd2bec8bc062.jpeg
Million dollar question? 价值百万美金的问题,http://language.chinadaily.com.cn/a/202205/27/WS62903f92a310fd2b29e5f612.html,Million dollar question意思是有价值的难题。,http://img2.chinadaily.com.cn/images/202205/27/62903f92a310fd2bec8bbd74.jpeg
美国得州校园枪击案21人遇难，该州总检察长建议给教师配枪,http://language.chinadaily.com.cn/a/202205/27/WS6290229aa310fd2b29e5f473.html,在5月24日得克萨斯州发生校园枪击事件后，美国保守党政客立即作出反应，再次推动学校教职员工配枪保护学生。,http://img2.chinadaily.com.cn/images/202205/27/6290229aa310fd2bec8ba7ea.jpeg
定了！2022年退休人员基本养老金上调4%,http://language.chinadaily.com.cn/a/202205/26/WS628f81aca310fd2b29e5f35d.html,今年，我国退休人员基本养老金在去年基础上上调4%。,http://img2.chinadaily.com.cn/images/202205/26/628f81aca310fd2bec8b967f.jpeg
一课译词：应接不暇,http://language.chinadaily.com.cn/a/202205/26/WS628f4855a310fd2b29e5f30a.html,"“应接不暇”，原形容景物繁多，来不及观赏。后多形容来人或事情太多，应付不过来。可以翻译为“too busy to attend to all”等。
",http://img2.chinadaily.com.cn/images/202205/26/628f49d9a310fd2bec8b8e7d.jpeg
每日一词∣乡村建设行动实施方案 action plan on rural construction,http://language.chinadaily.com.cn/a/202205/26/WS628f419aa310fd2b29e5f2f6.html,近日，中共中央办公厅、国务院办公厅印发《乡村建设行动实施方案》。方案明确，到2025年，乡村建设取得实质性进展，农村人居环境持续改善。,http://img2.chinadaily.com.cn/images/202205/26/628f419aa310fd2bec8b8c00.jpeg
外媒：枪支暴力事件每年导致美国一个县损失7200万美元,http://language.chinadaily.com.cn/a/202205/26/WS628f3961a310fd2b29e5f2df.html,美国枪支暴力已经严重危害到了民众的生命财产安全。光是在美国的圣克拉拉县，枪击事件每年造成的经济损失就高达7200万美元。,http://img2.chinadaily.com.cn/images/202205/26/628f3961a310fd2bec8b8af1.jpeg
每日新闻播报（May 26）,http://language.chinadaily.com.cn/a/202205/26/WS628f2bbda310fd2b29e5f2b5.html,今日播报内容：我国全球重要农业文化遗产增至18项；受疫情影响企业可申请缓缴住房公积金；上海6月1日之后商场全面恢复营业；美国一小学枪击案已致21人死亡。,http://img2.chinadaily.com.cn/images/202205/26/628f2bbda310fd2bec8b87a6.jpeg
关于读书的好处 这些著名作家的话一语中的,http://language.chinadaily.com.cn/a/202205/26/WS628ed8c4a310fd2b29e5f123.html,书可以带你去向往的远方，可以让你跨越千年和古人交流，可以开阔眼界、刷新认知，还可以做你的知心好友。,http://img2.chinadaily.com.cn/images/202205/26/628eda2aa310fd2bec8b6ad7.jpeg
一课译词：一落千丈,http://language.chinadaily.com.cn/a/202205/25/WS628dfd1ba310fd2b29e5ef5b.html,一落千丈”，原形容琴声由高而低突然变化，现在表示下降得很厉害，用来形容声誉、地位或经济状况急剧下降。,http://img2.chinadaily.com.cn/images/202205/25/628dfd49a310fd2bec8b4c25.jpeg
